prompt_type,model_name,NON_RAG,RAG,rag_gain,rag_gain_percentage
style_based,llama-3.1-8b-instant,0.05000000000000001,0.8314797903928441,0.7814797903928441,1562.9595807856879
self_consistency,llama-3.1-8b-instant,0.21058063041084202,0.7417817748375336,0.5312011444266915,252.25546309284005
zero_shot,llama-3.1-8b-instant,0.23971549845261722,0.7700873730844864,0.5303718746318692,221.2505566204364
chain_of_thought,llama-3.1-8b-instant,0.2902775077862483,0.7944098176447716,0.5041323098585233,173.6725362234236
style_based,llama-3.3-70b-versatile,0.6202083905723869,0.9498239886076391,0.3296155980352522,53.145943048440834
self_consistency,llama-3.3-70b-versatile,0.5388716509681686,0.834777259188672,0.2959056082205034,54.91207557288678
zero_shot,llama-3.3-70b-versatile,0.5847851209451647,0.8674934611981406,0.282708340252976,48.343969456002206
chain_of_thought,llama-3.3-70b-versatile,0.5502890837985303,0.8152336845014406,0.26494460070291037,48.146439481236534
self_consistency,openai/gpt-oss-120b,0.778406369902354,0.9994188861985471,0.22101251629619312,28.392948059240275
style_based,openai/gpt-oss-120b,0.7174536110622006,0.928894404027554,0.21144079296535334,29.47100547062717
zero_shot,openai/gpt-oss-120b,0.7389470128845946,0.9474536910289512,0.20850667814435653,28.216729279467316
few_shot,openai/gpt-oss-120b,0.7050627085244486,0.9047978499610205,0.1997351414365719,28.328705946535806
few_shot,llama-3.3-70b-versatile,0.5599837882323871,0.7218502848020739,0.16186649656968677,28.905568334509347
few_shot,llama-3.1-8b-instant,0.26357155051927533,0.3928419719891007,0.12927042146982537,49.04566567034391
chain_of_thought,openai/gpt-oss-120b,0.7094971012081893,0.8005125214960583,0.09101542028786902,12.82815957005047
