experiment_id,prompt_type,model_name,temperature,max_tokens,num_samples_completed,rougeL_f1_mean,rougeL_f1_median,rougeL_f1_std,rougeL_f1_min,rougeL_f1_max,semantic_similarity_mean,semantic_similarity_median,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,irr_mean,irr_median,irr_std,irr_min,irr_max,hallucination_rate_mean,hallucination_rate_median,hallucination_rate_std,hallucination_rate_min,hallucination_rate_max,compression_ratio_mean,compression_ratio_median,compression_ratio_std,compression_ratio_min,compression_ratio_max,top_k_skill_coverage_mean,top_k_skill_coverage_median,top_k_skill_coverage_std,top_k_skill_coverage_min,top_k_skill_coverage_max,global_skill_overlap,hallucination_prevalence,hallucination_density,experiment_folder,rag_type,chunk_size_words,chunk_overlap_words,embedding_model,vector_database,retrieval_method,similarity_metric,top_k,grounding_score_mean,grounding_score_median,grounding_score_std,grounding_score_min,grounding_score_max,faithfulness_score_mean,faithfulness_score_median,faithfulness_score_std,faithfulness_score_min,faithfulness_score_max,retrieval_similarity_mean_mean,retrieval_similarity_mean_median,retrieval_similarity_mean_std,retrieval_similarity_mean_min,retrieval_similarity_mean_max,num_candidates,selection_consistency_score_mean,selection_consistency_score_median,selection_consistency_score_std,selection_consistency_score_min,selection_consistency_score_max,selection_completeness_score_mean,selection_completeness_score_median,selection_completeness_score_std,selection_completeness_score_min,selection_completeness_score_max,selection_final_score_mean,selection_final_score_median,selection_final_score_std,selection_final_score_min,selection_final_score_max,rougeL_f1_mean_norm,semantic_similarity_mean_norm,irr_mean_norm,top_k_skill_coverage_mean_norm,global_skill_overlap_norm,hallucination_rate_mean_norm,hallucination_prevalence_norm,hallucination_density_norm,compression_ratio_mean_norm,hallucination_rate_mean_score,hallucination_prevalence_score,hallucination_density_score,compression_ratio_mean_score,rougeL_f1_mean_score,semantic_similarity_mean_score,irr_mean_score,top_k_skill_coverage_mean_score,global_skill_overlap_score,benchmark_score,overall_rank,rank_within_rag_type
exp_s_12_style_based_without_rag_openai_gpt-oss-120b,style_based,openai/gpt-oss-120b,0.0,700,100,0.4572,0.4496,0.0901,0.2723,0.7243,0.8385,0.8523,0.0641,0.6396,0.9597,0.3834,0.3644,0.1617,0.0,0.8125,0.3174,0.2705,0.1743,0.0714,1.0,0.467,0.413,0.2135,0.1274,1.1918,0.406,0.4,0.2282,0.0,1.0,0.4116,1.0,6.01,exp_s_12_style_based_without_rag_openai_gpt-oss-120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8366500829187395,0.7154150197628475,0.43498215196328416,0.48979591836734726,0.3964095099466278,0.25662921348314605,0.0,0.14565826330532217,0.441029900332226,0.743370786516854,1.0,0.8543417366946778,0.558970099667774,0.8366500829187395,0.7154150197628475,0.43498215196328416,0.48979591836734726,0.3964095099466278,0.6202687340869201,6,1
exp_s_15_self_consistency_without_rag_openai_gpt_oss_120b,self_consistency,openai/gpt-oss-120b,0.3,700,100,0.4474,0.4277,0.0823,0.2752,0.7265,0.8505,0.866,0.0683,0.5974,0.9616,0.3647,0.3514,0.1651,0.0,0.7812,0.3483,0.3198,0.1656,0.0741,1.0,0.4499,0.4026,0.2014,0.1378,1.274,0.38,0.4,0.2387,0.0,1.0,0.3884,1.0,6.51,exp_s_15_self_consistency_without_rag_openai_gpt_oss_120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7553897180762852,0.9525691699604764,0.3396226415094341,0.3571428571428572,0.2838427947598252,0.39550561797752803,0.0,0.21568627450980393,0.40552325581395354,0.604494382022472,1.0,0.7843137254901961,0.5944767441860465,0.7553897180762852,0.9525691699604764,0.3396226415094341,0.3571428571428572,0.2838427947598252,0.6047441382042245,7,2
exp_s_11_style_based_without_rag_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0.0,700,100,0.4546,0.4457,0.0686,0.3285,0.6667,0.8389,0.8504,0.0655,0.6299,0.942,0.3813,0.365,0.1746,0.0,0.8889,0.3544,0.3603,0.1693,0.0508,1.0,0.4765,0.4296,0.2271,0.1552,1.2329,0.406,0.4,0.2335,0.0,1.0,0.3983,1.0,7.63,exp_s_11_style_based_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8150912106135983,0.7233201581027657,0.42427332993370714,0.48979591836734726,0.3318777292576416,0.4229213483146066,0.0,0.37254901960784315,0.4607558139534884,0.5770786516853934,1.0,0.6274509803921569,0.5392441860465116,0.8150912106135983,0.7233201581027657,0.42427332993370714,0.48979591836734726,0.3318777292576416,0.5938224540329833,8,3
exp_s_07_chain_of_thought_without_rag_llama3_1_8b_instant,chain_of_thought,llama-3.1-8b-instant,0.0,700,100,0.4646,0.462,0.0814,0.2807,0.6824,0.838,0.8491,0.0742,0.5507,0.9611,0.3962,0.381,0.1687,0.0,0.8889,0.4497,0.4451,0.1788,0.0857,1.0,0.5733,0.498,0.2774,0.1744,1.475,0.412,0.4,0.2324,0.0,1.0,0.4145,1.0,11.91,exp_s_07_chain_of_thought_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8980099502487562,0.7055335968379453,0.5002549719530851,0.5204081632653061,0.4104803493449778,0.8512359550561794,0.0,0.9719887955182074,0.6617524916943522,0.14876404494382056,1.0,0.028011204481792618,0.33824750830564776,0.8980099502487562,0.7055335968379453,0.5002549719530851,0.5204081632653061,0.4104803493449778,0.5901891316219062,9,4
exp_s_08_chain_of_thought_without_rag_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0.0,700,100,0.4487,0.4468,0.0839,0.2193,0.6781,0.8438,0.8586,0.0701,0.5489,0.9436,0.387,0.3669,0.1765,0.0,0.8966,0.4261,0.4216,0.1894,0.0727,1.0,0.6904,0.5746,0.4424,0.2376,3.4747,0.396,0.4,0.2378,0.0,1.0,0.418,1.0,10.44,exp_s_08_chain_of_thought_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7661691542288556,0.820158102766797,0.4533401325854156,0.438775510204082,0.4274623968947109,0.7451685393258425,0.0,0.7661064425770308,0.9049003322259137,0.2548314606741575,1.0,0.23389355742296924,0.0950996677740863,0.7661691542288556,0.820158102766797,0.4533401325854156,0.438775510204082,0.4274623968947109,0.5791643223865155,10,5
exp_s_14_self_consistency_without_rag_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.3,700,100,0.4483,0.4404,0.0812,0.2254,0.7132,0.8456,0.8578,0.0658,0.5456,0.9468,0.387,0.369,0.166,0.0,0.8276,0.4227,0.4153,0.1837,0.0606,1.0,0.7177,0.5458,0.8142,0.1966,7.9857,0.388,0.4,0.2392,0.0,0.8,0.4087,1.0,10.6,exp_s_14_self_consistency_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7628524046434491,0.8557312252964415,0.4533401325854156,0.3979591836734695,0.3823386705482774,0.7298876404494381,0.0,0.7885154061624651,0.9615863787375416,0.2701123595505619,1.0,0.21148459383753493,0.0384136212624584,0.7628524046434491,0.8557312252964415,0.4533401325854156,0.3979591836734695,0.3823386705482774,0.5757174865936349,12,6
exp_s_03_zero_shot_without_rag_openai_gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0.0,700,100,0.4357,0.4326,0.0681,0.2952,0.678,0.8484,0.862,0.0678,0.5783,0.9552,0.3455,0.3266,0.1663,0.0,0.7812,0.3516,0.3333,0.1751,0.0606,1.0,0.4418,0.391,0.2185,0.1244,1.274,0.366,0.4,0.2345,0.0,1.0,0.3751,1.0,6.01,exp_s_03_zero_shot_without_rag_openai_gpt-oss-120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6583747927031505,0.9110671936758905,0.24171341152473214,0.2857142857142858,0.2193110140708392,0.41033707865168556,0.0,0.14565826330532217,0.3887043189368772,0.5896629213483144,1.0,0.8543417366946778,0.6112956810631228,0.6583747927031505,0.9110671936758905,0.24171341152473214,0.2857142857142858,0.2193110140708392,0.5399119953182945,16,7
exp_s_13_self_consistency_without_rag_llama3_1_8b_instant,self_consistency,llama-3.1-8b-instant,0.3,700,100,0.4577,0.4511,0.081,0.2705,0.7381,0.8349,0.8481,0.0769,0.5756,0.9514,0.3852,0.3584,0.1719,0.0,0.8889,0.4575,0.4687,0.1797,0.1071,1.0,0.5336,0.4713,0.2557,0.1726,1.4,0.386,0.4,0.2366,0.0,1.0,0.4035,1.0,11.66,exp_s_13_self_consistency_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8407960199004973,0.6442687747035549,0.4441611422743499,0.38775510204081653,0.3571081999029597,0.8862921348314607,0.0,0.9369747899159664,0.5793189368770764,0.11370786516853926,1.0,0.06302521008403361,0.42068106312292364,0.8407960199004973,0.6442687747035549,0.4441611422743499,0.38775510204081653,0.3571081999029597,0.5279224822306832,17,8
exp_s_01_zero_shot_without_rag_llama3_1_8b_instant,zero_shot,llama-3.1-8b-instant,0.0,700,100,0.4514,0.4556,0.0851,0.2563,0.6529,0.8323,0.84,0.0712,0.5523,0.9554,0.3758,0.3552,0.167,0.0,0.8889,0.4227,0.4046,0.171,0.075,1.0,0.4832,0.4064,0.2489,0.1408,1.55,0.402,0.4,0.2318,0.0,1.0,0.4041,1.0,9.55,exp_s_01_zero_shot_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7885572139303485,0.5928853754940704,0.39622641509433976,0.4693877551020409,0.3600194080543424,0.7298876404494381,0.0,0.6414565826330534,0.4746677740863787,0.2701123595505619,1.0,0.3585434173669466,0.5253322259136213,0.7885572139303485,0.5928853754940704,0.39622641509433976,0.4693877551020409,0.3600194080543424,0.5263567387660046,18,9
exp_s_10_style_based_without_rag_llama3_1_8b_instant,style_based,llama-3.1-8b-instant,0.0,700,100,0.4499,0.4496,0.0868,0.2421,0.6507,0.8317,0.8278,0.0637,0.6647,0.9603,0.3732,0.3508,0.1525,0.0,0.7778,0.425,0.424,0.1645,0.1273,1.0,0.3953,0.361,0.1886,0.137,1.175,0.392,0.4,0.236,0.0,1.0,0.4255,1.0,9.9,exp_s_10_style_based_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7761194029850746,0.5810276679841877,0.38296787353391126,0.41836734693877564,0.4638524987869965,0.7402247191011235,0.0,0.6904761904761905,0.29215116279069775,0.25977528089887647,1.0,0.30952380952380953,0.7078488372093023,0.7761194029850746,0.5810276679841877,0.38296787353391126,0.41836734693877564,0.4638524987869965,0.5226461792942043,20,10
