experiment_id,prompt_type,model_name,temperature,max_tokens,num_samples_completed,rougeL_f1_mean,rougeL_f1_median,rougeL_f1_std,rougeL_f1_min,rougeL_f1_max,semantic_similarity_mean,semantic_similarity_median,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,irr_mean,irr_median,irr_std,irr_min,irr_max,hallucination_rate_mean,hallucination_rate_median,hallucination_rate_std,hallucination_rate_min,hallucination_rate_max,compression_ratio_mean,compression_ratio_median,compression_ratio_std,compression_ratio_min,compression_ratio_max,top_k_skill_coverage_mean,top_k_skill_coverage_median,top_k_skill_coverage_std,top_k_skill_coverage_min,top_k_skill_coverage_max,global_skill_overlap,hallucination_prevalence,hallucination_density,experiment_folder,rag_type,chunk_size_words,chunk_overlap_words,embedding_model,vector_database,retrieval_method,similarity_metric,top_k,grounding_score_mean,grounding_score_median,grounding_score_std,grounding_score_min,grounding_score_max,faithfulness_score_mean,faithfulness_score_median,faithfulness_score_std,faithfulness_score_min,faithfulness_score_max,retrieval_similarity_mean_mean,retrieval_similarity_mean_median,retrieval_similarity_mean_std,retrieval_similarity_mean_min,retrieval_similarity_mean_max,num_candidates,selection_consistency_score_mean,selection_consistency_score_median,selection_consistency_score_std,selection_consistency_score_min,selection_consistency_score_max,selection_completeness_score_mean,selection_completeness_score_median,selection_completeness_score_std,selection_completeness_score_min,selection_completeness_score_max,selection_final_score_mean,selection_final_score_median,selection_final_score_std,selection_final_score_min,selection_final_score_max,rougeL_f1_mean_norm,semantic_similarity_mean_norm,irr_mean_norm,top_k_skill_coverage_mean_norm,global_skill_overlap_norm,hallucination_rate_mean_norm,hallucination_prevalence_norm,hallucination_density_norm,compression_ratio_mean_norm,hallucination_rate_mean_score,hallucination_prevalence_score,hallucination_density_score,compression_ratio_mean_score,rougeL_f1_mean_score,semantic_similarity_mean_score,irr_mean_score,top_k_skill_coverage_mean_score,global_skill_overlap_score,benchmark_score,overall_rank,rank_within_rag_type
exp_s_R06_summarization_few_shot_chromadb_openai-gpt-oss-120b,few_shot,openai/gpt-oss-120b,0.0,700,100,0.4386,0.4219,0.1101,0.1733,0.7071,0.8237,0.8399,0.0797,0.4333,0.9547,0.4942,0.5,0.1693,0.0,0.9091,0.2603,0.2158,0.1622,0.0541,1.0,0.5214,0.4915,0.2014,0.0942,1.0959,0.506,0.6,0.2264,0.0,1.0,0.536,1.0,5.86,exp_s_R06_summarization_few_shot_chromadb_openai-gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7259,0.7499,0.1195,0.4116,0.9531,0.7608,0.7787,0.1087,0.3622,0.9464,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.6824212271973464,0.42292490118576964,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,0.1246498599439777,0.5539867109634551,1.0,1.0,0.8753501400560223,0.4460132890365449,0.6824212271973464,0.42292490118576964,1.0,1.0000000000000002,0.9999999999999998,0.7773962407183234,1,1
exp_s_R02_summarization_zero_shot_chromadb_llama-3.3-70b-versatile,zero_shot,llama-3.3-70b-versatile,0.0,700,100,0.4691,0.4667,0.0763,0.2843,0.7037,0.8529,0.8663,0.0676,0.5804,0.9607,0.4,0.3917,0.1853,0.0,0.8966,0.3225,0.2857,0.1852,0.0577,1.0,0.4881,0.4391,0.2232,0.1689,1.1571,0.418,0.4,0.2414,0.0,1.0,0.4269,1.0,6.85,exp_s_R02_summarization_zero_shot_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7255,0.738,0.101,0.4181,0.9156,0.7744,0.7833,0.0894,0.4721,0.9454,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9353233830845773,1.0,0.5196328403875574,0.5510204081632655,0.4706453178068897,0.27955056179775273,0.0,0.2633053221288515,0.4848421926910298,0.7204494382022473,1.0,0.7366946778711485,0.5151578073089702,0.9353233830845773,1.0,0.5196328403875574,0.5510204081632655,0.4706453178068897,0.7391353060920318,2,2
exp_s_R14_summarization_self_consistency_chromadb_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.0,700,100,0.4769,0.4693,0.0747,0.3241,0.675,0.8509,0.8574,0.0712,0.528,0.9506,0.3887,0.3728,0.1683,0.0,0.8889,0.3445,0.3333,0.188,0.0588,1.0,0.523,0.4624,0.2585,0.1744,1.325,0.41,0.4,0.2298,0.0,1.0,0.42,1.0,7.44,exp_s_R14_summarization_self_consistency_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7188,0.741,0.0966,0.4682,0.92,0.7643,0.7813,0.087,0.4983,0.9311,0.8168,0.8181,0.143,0.5401,1.0,3.0,0.9812,0.9894,0.0288,0.7549,1.0,0.9744,1.0,0.0424,0.84,1.0,0.8836,0.8896,0.0377,0.772,0.9646,0.9999999999999996,0.9604743083003946,0.46200917899031113,0.5102040816326532,0.43716642406598694,0.3784269662921347,0.0,0.34593837535014016,0.5573089700996678,0.6215730337078653,1.0,0.6540616246498598,0.44269102990033216,0.9999999999999996,0.9604743083003946,0.46200917899031113,0.5102040816326532,0.43716642406598694,0.7123219885475532,3,3
exp_s_R08_summarization_chain_of_thought_chromadb_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0.0,700,100,0.4648,0.4582,0.0745,0.2911,0.6519,0.8454,0.8585,0.067,0.6052,0.9517,0.3935,0.3684,0.1753,0.1111,1.0,0.4037,0.3957,0.202,0.0545,0.8696,0.5822,0.4967,0.3668,0.1915,3.0439,0.416,0.4,0.2423,0.0,1.0,0.4113,1.0,9.92,exp_s_R08_summarization_chain_of_thought_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7001,0.7167,0.1032,0.4128,0.9167,0.746,0.7664,0.0973,0.4826,0.907,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.8996683250414592,0.8517786561264842,0.4864864864864864,0.5408163265306121,0.39495390587093615,0.6444943820224718,0.0,0.6932773109243697,0.680232558139535,0.3555056179775282,1.0,0.3067226890756303,0.319767441860465,0.8996683250414592,0.8517786561264842,0.4864864864864864,0.5408163265306121,0.39495390587093615,0.6441657763122501,4,4
exp_s_R11_summarization_style_based_chromadb_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0.0,700,100,0.4724,0.4623,0.0723,0.3069,0.6805,0.8494,0.8628,0.0644,0.585,0.9602,0.3662,0.3557,0.1579,0.0,0.7619,0.4049,0.3868,0.1942,0.0588,1.0,0.4514,0.3859,0.2312,0.1561,1.325,0.388,0.4,0.2306,0.0,1.0,0.4008,1.0,8.96,exp_s_R11_summarization_style_based_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6998,0.7221,0.098,0.4514,0.9092,0.7446,0.7535,0.0846,0.5341,0.9127,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9626865671641789,0.9308300395256914,0.347271800101989,0.3979591836734695,0.3440077632217369,0.649887640449438,0.0,0.5588235294117649,0.40863787375415295,0.35011235955056197,1.0,0.44117647058823506,0.591362126245847,0.9626865671641789,0.9308300395256914,0.347271800101989,0.3979591836734695,0.3440077632217369,0.6313619918279426,5,5
exp_s_R09_summarization_chain_of_thought_chromadb_openai-gpt-oss-120b,chain_of_thought,openai/gpt-oss-120b,0.0,700,100,0.449,0.4393,0.0812,0.224,0.6763,0.8445,0.8599,0.0659,0.6387,0.9651,0.352,0.3333,0.1627,0.0,0.7778,0.3378,0.3333,0.1695,0.0769,1.0,0.4705,0.4365,0.2255,0.1481,1.3151,0.384,0.4,0.2321,0.0,1.0,0.4037,1.0,6.07,exp_s_R09_summarization_chain_of_thought_chromadb_openai-gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7065,0.7198,0.0976,0.4163,0.8798,0.7448,0.7554,0.0824,0.5177,0.889,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.7686567164179103,0.8339920948616601,0.27485976542580315,0.37755102040816335,0.35807860262008706,0.348314606741573,0.0,0.15406162464986006,0.448297342192691,0.651685393258427,1.0,0.8459383753501399,0.551702657807309,0.7686567164179103,0.8339920948616601,0.27485976542580315,0.37755102040816335,0.35807860262008706,0.5786383074869627,11,6
exp_s_R01_summarization_zero_shot_chromadb_llama-3.1-8b-instant,zero_shot,llama-3.1-8b-instant,0.0,700,100,0.466,0.4513,0.0844,0.3152,0.6473,0.8359,0.8466,0.0751,0.5092,0.9582,0.3692,0.3446,0.1603,0.0,0.8889,0.4093,0.3868,0.1869,0.1053,1.0,0.4367,0.3917,0.208,0.1407,1.25,0.384,0.4,0.2251,0.0,1.0,0.4258,1.0,8.95,exp_s_R01_summarization_zero_shot_chromadb_llama-3.1-8b-instant,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6929,0.7114,0.1101,0.3303,0.9115,0.7387,0.7509,0.1028,0.3849,0.9307,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9096185737976783,0.6640316205533594,0.3625701172870983,0.37755102040816335,0.46530810286268776,0.6696629213483145,0.0,0.5574229691876751,0.3781146179401993,0.3303370786516855,1.0,0.4425770308123249,0.6218853820598007,0.9096185737976783,0.6640316205533594,0.3625701172870983,0.37755102040816335,0.46530810286268776,0.5658409792009386,13,7
exp_s_R07_summarization_chain_of_thought_chromadb_llama-3.1-8b-instant,chain_of_thought,llama-3.1-8b-instant,0.0,700,100,0.4567,0.4518,0.0859,0.2763,0.7159,0.8353,0.8413,0.0706,0.5092,0.9572,0.3789,0.3503,0.1717,0.0,1.0,0.4661,0.4753,0.1894,0.1,1.0,0.5223,0.4435,0.3009,0.1975,2.0286,0.408,0.4,0.2308,0.0,1.0,0.4356,1.0,11.96,exp_s_R07_summarization_chain_of_thought_chromadb_llama-3.1-8b-instant,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6961,0.7092,0.1127,0.3519,0.9349,0.7272,0.7464,0.101,0.4342,0.9391,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.8325041459369817,0.6521739130434803,0.41203467618561973,0.4999999999999998,0.5128578360019407,0.9249438202247191,0.0,0.9789915966386555,0.5558554817275747,0.0750561797752809,1.0,0.021008403361344463,0.4441445182724253,0.8325041459369817,0.6521739130434803,0.41203467618561973,0.4999999999999998,0.5128578360019407,0.5515029777406374,14,8
exp_s_R15_summarization_self_consistency_chromadb_openai_gpt-oss-120b,self_consistency,openai/gpt-oss-120b,0.0,700,100,0.4417,0.4357,0.0783,0.3,0.6497,0.8421,0.851,0.0673,0.4836,0.9525,0.3487,0.3163,0.1586,0.0,0.8065,0.3448,0.3333,0.1689,0.0851,1.0,0.4263,0.3821,0.1925,0.1289,0.8904,0.386,0.4,0.2188,0.0,1.0,0.3834,1.0,6.15,exp_s_R15_summarization_self_consistency_chromadb_openai_gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.716,0.7212,0.088,0.4264,0.8755,0.7508,0.7585,0.0775,0.5315,0.8992,0.8168,0.8181,0.143,0.5401,1.0,3.0,0.9696,0.9798,0.0311,0.8642,1.0,0.9736,1.0,0.0426,0.84,1.0,0.8762,0.8778,0.0341,0.777,0.9461,0.708126036484245,0.786561264822133,0.25803161652218276,0.38775510204081653,0.2595827268316351,0.37977528089887636,0.0,0.1652661064425771,0.35651993355481737,0.6202247191011236,1.0,0.8347338935574229,0.6434800664451826,0.708126036484245,0.786561264822133,0.25803161652218276,0.38775510204081653,0.2595827268316351,0.5429162388867874,15,9
exp_s_R05_summarization_few_shot_chromadb_llama-3.3-70b-versatile,few_shot,llama-3.3-70b-versatile,0.0,700,100,0.4282,0.4313,0.0825,0.2604,0.6564,0.8256,0.8315,0.0592,0.6444,0.9271,0.4024,0.4,0.1584,0.0,0.8387,0.3759,0.3536,0.1725,0.0714,1.0,0.3769,0.3455,0.1687,0.1377,1.1188,0.404,0.4,0.2309,0.0,1.0,0.449,1.0,8.77,exp_s_R05_summarization_few_shot_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6809,0.6938,0.1064,0.3775,0.9088,0.7223,0.7248,0.0937,0.5086,0.9291,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.596185737976783,0.4604743083003946,0.531871494135645,0.4795918367346943,0.5778748180494906,0.5195505617977527,0.0,0.5322128851540615,0.2539451827242526,0.4804494382022473,1.0,0.4677871148459385,0.7460548172757474,0.596185737976783,0.4604743083003946,0.531871494135645,0.4795918367346943,0.5778748180494906,0.523433462513743,19,10
