label,precision,recall,f1-score,support
Backend Developer,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Design / Creative Role,0.8571428571428571,0.6666666666666666,0.75,9.0
Other,0.5,0.23076923076923078,0.3157894736842105,13.0
accuracy,0.76,0.76,0.76,0.76
macro avg,0.7782564054303186,0.820135644832001,0.7809905681363172,100.0
weighted avg,0.7592193675889328,0.76,0.7452461602724761,100.0
