experiment_id,task_name,prompt_type,model_name,temperature,max_tokens,rag_used,input_type,embedding_model,chunk_size_words,chunk_overlap_words,top_k,num_samples_completed,num_correct,num_incorrect,valid_label_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,avg_retrieved_chunks,avg_top_similarity,num_taxonomy_labels,experiment_folder
exp_49_rc_few_shot_rag_llama-3.1-8b-instant,role_categorization,few_shot_with_rag,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,66,34,0.97,0.66,0.6655,0.6533,0.6187,0.6752,0.66,0.629,2.27,0.955,13,exp_49
exp_48_rc_zero_shot_rag_openai_gpt-oss-120b,role_categorization,zero_shot_with_rag,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,77,23,1.0,0.77,0.7898,0.8319,0.7721,0.8171,0.77,0.7506,2.27,0.955,13,exp_48
exp_47_rc_zero_shot_rag_llama-3.3-70b-versatile,role_categorization,zero_shot_with_rag,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,75,25,0.99,0.75,0.7582,0.8219,0.7577,0.7649,0.75,0.7254,2.27,0.955,13,exp_47
exp_46_rc_zero_shot_rag_llama_3_1_8b_instant,role_categorization,zero_shot_with_rag,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,73,27,0.99,0.73,0.7179,0.7996,0.7401,0.6614,0.73,0.6829,2.27,0.955,13,exp_46
exp_50_rc_few_shot_rag_llama-3.3-70b-versatile,role_categorization,few_shot_with_rag,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,72,28,1.0,0.72,0.6887,0.7948,0.7194,0.6606,0.72,0.679,2.27,0.955,13,exp_50
exp_51_rc_few_shot_rag_openai_gpt-oss-120b,role_categorization,few_shot_with_rag,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,76,24,1.0,0.76,0.7697,0.8241,0.7686,0.7488,0.76,0.7241,2.27,0.955,13,exp_51
exp_52_rc_chain_of_thought_rag_llama-3.1-8b-instant,role_categorization,chain_of_thought_with_rag,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,73,27,0.98,0.73,0.7621,0.7927,0.7447,0.7299,0.73,0.6948,2.27,0.955,13,exp_52
exp_53_rc_chain_of_thought_rag_llama-3.3-70b-versatile,role_categorization,chain_of_thought_with_rag,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,74,26,0.99,0.74,0.7381,0.8124,0.7448,0.7289,0.74,0.7032,2.27,0.955,13,exp_53
exp_54_rc_chain_of_thought_rag_openai_gpt-oss-120b,role_categorization,chain_of_thought_with_rag,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,73,27,1.0,0.73,0.7273,0.8085,0.7444,0.7073,0.73,0.6991,2.27,0.955,13,exp_54
exp_55_rc_style_based_rag_llama-3.1-8b-instant,role_categorization,style_based_with_rag,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,75,25,1.0,0.75,0.7255,0.8165,0.75,0.6765,0.75,0.6976,2.27,0.955,13,exp_55
exp_56_rc_style_based_rag_llama-3.3-70b-versatile,role_categorization,style_based_with_rag,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,78,22,1.0,0.78,0.7574,0.8404,0.7849,0.6996,0.78,0.7298,2.27,0.955,13,exp_56
exp_57_rc_style_based_rag_openai_gpt-oss-120b,role_categorization,style_based_with_rag,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,76,24,1.0,0.76,0.7783,0.8201,0.781,0.7592,0.76,0.7452,2.27,0.955,13,exp_57
exp_58_rc_self_consistency_rag_llama-3.1-8b-instant,role_categorization,self_consistency_with_rag,llama-3.1-8b-instant,0.3,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,73,27,0.97,0.73,0.73,0.778,0.7342,0.6746,0.73,0.6846,2.27,0.955,13,exp_58
exp_59_rc_self_consistency_rag_llama-3.3-70b-versatile,role_categorization,self_consistency_with_rag,llama-3.3-70b-versatile,0.3,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,76,24,1.0,0.76,0.697,0.8278,0.7485,0.6684,0.76,0.7064,2.27,0.955,13,exp_59
exp_60_rc_self_consistency_rag_openai_gpt-oss-120b,role_categorization,self_consistency_with_rag,openai/gpt-oss-120b,0.3,700,True,retrieved_job_description_chunks,all-MiniLM-L6-v2,150,30,5,100,78,22,1.0,0.78,0.7999,0.8396,0.7979,0.7744,0.78,0.7559,2.27,0.955,13,exp_60
